code,tag
#include<cstdio>  #include<algorithm>  using namespace std;  int a[300001];  int sum[300002];  int main()  {   int n k;   scanf("%d%d" &n &k);   for(int i=1;i<=n;i++)    scanf("%d" &a[i]);   sort(a+1 a+n+1);   int l=0 r=1e9;   while(l<r){    int mid=(l+r)>>1;    sum[0]=0;sum[1]=1;    for(int i=1 j=0;i<=n;i++){     while(a[i]-a[j+1]>mid)j++;     sum[i+1]=sum[i]+(i>=k&&sum[i-k+1]-sum[j]>0);    }    if(sum[n+1]>sum[n])r=mid;    else l=mid+1;   }   printf("%d\n" l);  },yes
#include<cstdio>  #include<algorithm>  using namespace std;  int a[300001];  int sum[300002];  int main()  {   int n k;   scanf("%d%d" &n &k);   for(int i=1;i<=n;i++)    scanf("%d" &a[i]);   sort(a+1 a+n+1);   int l=0 r=1e9;   while(l<r){    int mid=(l+r)>>1;    sum[0]=0;sum[1]=1;    for(int i=1 j=0;i<=n;i++){     while(a[i]-a[j+1]>mid)j++;     sum[i+1]=sum[i]+(i>=k&&sum[i-k+1]-sum[j]>0);    }    if(sum[n+1]>sum[n])r=mid;    else l=mid+1;   }   printf("%d\n" l);  }  ,yes
#include<bits/stdc++.h> using namespace std; const int maxn=3e5+7; int v[maxn]; int f[maxn]; //how much element can add into groups. int main() {  int n k;  scanf("%d%d" &n &k);  for(int i=1;i<=n;i++)   scanf("%d" &v[i]);  sort(v+1 v+1+n);  int l=0 r=v[n]-v[1];  while(l<=r)  {   int mid=(l+r)>>1;   int ll=0;   for(int i=k;i<=n;i++)   {    if(v[i]-v[f[i-k]+1]<=mid)     ll=i;    f[i]=ll;   }   if(f[n]==n)    r=mid-1;   else    l=mid+1;  }  printf("%d\n" l);  return 0; } ,yes
#include<cstdio> #include<algorithm> using namespace std; int a[300001]; int sum[300002]; int main() {  int n k;  scanf("%d%d" &n &k);  for(int i=1;i<=n;i++)   scanf("%d" &a[i]);  sort(a+1 a+n+1);  int l=0 r=1e9;  while(l<r){   int mid=(l+r)>>1;   sum[0]=0;sum[1]=1;   for(int i=1 j=0;i<=n;i++){    while(a[i]-a[j+1]>mid)j++;    sum[i+1]=sum[i]+(i>=k&&sum[i-k+1]-sum[j]>0);   }   if(sum[n+1]>sum[n])r=mid;   else l=mid+1;  }  printf("%d\n" l); }                                ,yes
?,yes
#include<bits/stdc++.h> using namespace std;  #define For(i l r) for (int i=(l);i<=(r);++i)  int a[300100] dp[300100] n k;  bool ok(int x){  int last=0;  memset(dp 0 sizeof(dp));  For (i k n){   if (a[i]-a[dp[i-k]+1]<=x)    dp[i]=last=i;   else dp[i]=last;  }  return (dp[n]==n); }  int main(){  scanf("%d%d" &n &k);  For (i 1 n) scanf("%d" &a[i]);  sort(a+1 a+n+1);  int l=-1 r=a[n];  while (l+1<r){   int mid=(l+r)/2;   if (ok(mid))    r=mid;    else l=mid;  }  printf("%d\n" r);  return 0; } ,yes
#include<bits/stdc++.h>  using namespace std;  const int maxn=3e5+7;  int v[maxn];  int f[maxn]; //how much element can add into groups.  int main()  {   int n k;   scanf("%d%d" &n &k);   for(int i=1;i<=n;i++)    scanf("%d" &v[i]);   sort(v+1 v+1+n);   int l=0 r=v[n]-v[1];   while(l<=r)   {    int mid=(l+r)>>1;    int ll=0;    for(int i=k;i<=n;i++)    {     if(v[i]-v[f[i-k]+1]<=mid)      ll=i;     f[i]=ll;    }    if(f[n]==n)     r=mid-1;    else     l=mid+1;   }   printf("%d\n" l);   return 0;  },yes
#include <stdio.h> #include <cmath> #include <algorithm> using namespace std; int dp[300017]  po[300017]; int main() {  int n  i  j  k  l  r  mid  pos  t;  scanf("%d%d"  &n  &k);  for(i = 1; i <= n; i++)  scanf("%d"  &po[i]);  sort(po+1 po+1+n);  l = -1  r = po[n]-po[1];  while(l+1 < r)  {   mid = (l+r)/2;   pos = 0;   for(i = k; i <= n; i++)   {    t = dp[i-k];    if(po[i]-po[t+1] <= mid)    pos = i;    dp[i] = pos;   }   if(dp[n] == n) r = mid;   else l = mid;  }  printf("%d\n"  r);  return 0; },yes
#include <iostream>  #include<algorithm>  using namespace std;  int n  k  a[300001]  l  r  m  dp[300001]  p;  bool f(int m) {   p = 0;   for (int i = k; i <= n; i++) {    if (a[i] - a[dp[i - k] + 1] <= m)p = i;    dp[i] = p;   }   return dp[n] == n;  }  int main() {   scanf("%d%d"  &n  &k);   for (int i = 1; i <= n; i++)scanf("%d" &a[i]);   sort(a + 1  a + n + 1);   l = 0  r = a[n] - a[1];   while (l <= r) {    m = (l + r) / 2;    if (f(m))r = m - 1;    else l = m + 1;   }   printf("%d\n"  r + 1);  },yes
#include<bits/stdc++.h>  using namespace std;  int s[300009];  int ch[300009];  main()  {   int n k l=-1 r=1e9 i j m ;   scanf("%d %d" &n &k);   for(i=0;i<n;i++)   {    scanf("%d" &s[i]);   }   sort(s s+n);   while(l+1<r)   {    m=(l+r)/2;    ch[0]=m;    for(i=0 j=0;i<n;i++)    {     if(ch[i]==m)     {         if(j-i<k)j=i+k-1;      if(j>=n)break;      while(s[j]-s[i]<=m)      {       j++;       ch[j]=m;       if(j>=n)break;      }      }    }    if(ch[n]==m)r=m;    else l=m;   }   printf("%d" r);  }  ,yes
